candidate_id,client_name,industry_type,position_skillset,candidate_skillset,interview_type,gender,candidate_current_location,candidate_job_location,interview_venue,candidate_native_location,q1,q2,q3,q4,q5,q6,q7,marital_status,attendance
CANDIDATE 1,HOSPIRA,PHARMACEUTICALS,PRODUCTION  STERILE,ROUTINE,SCHEDULED WALKIN,MALE,CHENNAI,HOSUR,HOSUR,HOSUR,YES,YES,YES,YES,YES,YES,YES,SINGLE,NO
CANDIDATE 2,HOSPIRA,PHARMACEUTICALS,PRODUCTION  STERILE,ROUTINE,SCHEDULED WALKIN,MALE,CHENNAI,BANGALORE,HOSUR,TRICHY,YES,YES,YES,YES,YES,YES,YES,SINGLE,NO
CANDIDATE 3,HOSPIRA,PHARMACEUTICALS,PRODUCTION  STERILE,ROUTINE,SCHEDULED WALKIN,MALE,CHENNAI,CHENNAI,HOSUR,CHENNAI,,,,,,,,SINGLE,NO
CANDIDATE 4,HOSPIRA,PHARMACEUTICALS,PRODUCTION  STERILE,ROUTINE,SCHEDULED WALKIN,MALE,CHENNAI,CHENNAI,HOSUR,CHENNAI,YES,YES,NO,YES,NO,YES,YES,SINGLE,NO
CANDIDATE 5,HOSPIRA,PHARMACEUTICALS,PRODUCTION  STERILE,ROUTINE,SCHEDULED WALKIN,MALE,CHENNAI,BANGALORE,HOSUR,CHENNAI,YES,YES,YES,NO,YES,YES,YES,MARRIED,NO
CANDIDATE 12,UST,IT,DOT NET,ROUTINE,SCHEDULED WALKIN,FEMALE,BANGALORE,BANGALORE,BANGALORE,TRIVANDRUM,NO,YES,NO,NO,YES,YES,YES,SINGLE,NO
CANDIDATE 18,UST,IT,DOT NET,ROUTINE,SCHEDULED WALKIN,FEMALE,BANGALORE,BANGALORE,BANGALORE,BANGALORE,NO,YES,YES,NO,YES,YES,YES,SINGLE,NO
CANDIDATE 21,UST,IT,DOT NET,ROUTINE,SCHEDULED WALKIN,MALE,BANGALORE,BANGALORE,BANGALORE,TRIVANDRUM,NO,YES,YES,YES,YES,YES,NO,SINGLE,NO
CANDIDATE 25,UST,IT,DOT NET,ROUTINE,SCHEDULED WALKIN,MALE,BANGALORE,BANGALORE,BANGALORE,TRIVANDRUM,YES,YES,YES,NO,NO,YES,YES,SINGLE,NO
CANDIDATE 26,UST,IT,DOT NET,ROUTINE,SCHEDULED WALKIN,MALE,BANGALORE,BANGALORE,BANGALORE,COCHIN,NO,NO,YES,YES,YES,YES,NO,SINGLE,NO
