candidate_id,client_name,industry_type,position_skillset,candidate_skillset,interview_type,gender,candidate_current_location,candidate_job_location,interview_venue,candidate_native_location,q1,q2,q3,q4,q5,q6,q7,marital_status,attendance
CANDIDATE 10,AON HEWITT,IT,SELENIUM TESTING,ROUTINE,SCHEDULED WALKIN,FEMALE,GURGAON,GURGAON,GURGAON,DELHI  NCR,YES,YES,YES,YES,YES,YES,YES,SINGLE,
CANDIDATE 20,UST,IT,DOT NET,ROUTINE,SCHEDULED WALKIN,MALE,BANGALORE,BANGALORE,BANGALORE,COCHIN,YES,YES,YES,YES,YES,YES,YES,SINGLE,
CANDIDATE 30,STANDARD CHARTERED BANK,BFSI,AML,ROUTINE,SCHEDULED WALKIN,FEMALE,CHENNAI,CHENNAI,CHENNAI,CHENNAI,YES,YES,YES,YES,YES,YES,YES,MARRIED,
CANDIDATE 40,STANDARD CHARTERED BANK,BFSI,TRADE FINANCE,ROUTINE,SCHEDULED WALKIN,MALE,CHENNAI,CHENNAI,CHENNAI,CHENNAI,YES,YES,YES,YES,YES,YES,YES,MARRIED,
CANDIDATE 50,STANDARD CHARTERED BANK,BFSI,ROUTINE,REGULATORY,SCHEDULED WALKIN,MALE,CHENNAI,CHENNAI,CHENNAI,CHENNAI,YES,YES,YES,YES,YES,YES,YES,SINGLE,
CANDIDATE 60,STANDARD CHARTERED BANK,BFSI,ROUTINE,REGULATORY,SCHEDULED WALKIN,FEMALE,CHENNAI,CHENNAI,CHENNAI,CHENNAI,YES,YES,YES,YES,YES,YES,YES,MARRIED,
CANDIDATE 70,STANDARD CHARTERED BANK,BFSI,ROUTINE,REGULATORY,SCHEDULED WALKIN,FEMALE,CHENNAI,CHENNAI,CHENNAI,CHENNAI,YES,YES,YES,YES,YES,YES,YES,MARRIED,
CANDIDATE 80,STANDARD CHARTERED BANK,BFSI,ROUTINE,REGULATORY,SCHEDULED WALKIN,MALE,CHENNAI,CHENNAI,CHENNAI,CHENNAI,YES,YES,YES,YES,YES,YES,YES,SINGLE,
CANDIDATE 90,STANDARD CHARTERED BANK,BFSI,ROUTINE,REGULATORY,SCHEDULED WALKIN,MALE,CHENNAI,CHENNAI,CHENNAI,CHENNAI,NO,YES,YES,YES,YES,NO,NO,MARRIED,
CANDIDATE 100,STANDARD CHARTERED BANK,BFSI,ROUTINE,REGULATORY,SCHEDULED WALKIN,MALE,CHENNAI,CHENNAI,CHENNAI,CHENNAI,YES,YES,YES,YES,YES,YES,YES,SINGLE,
CANDIDATE 110,STANDARD CHARTERED BANK,BFSI,ROUTINE,REGULATORY,SCHEDULED WALKIN,MALE,CHENNAI,CHENNAI,CHENNAI,CHENNAI,YES,YES,YES,YES,YES,YES,YES,SINGLE,
CANDIDATE 120,STANDARD CHARTERED BANK,BFSI,ROUTINE,REGULATORY,SCHEDULED WALKIN,FEMALE,CHENNAI,CHENNAI,CHENNAI,TRIVANDRUM,YES,YES,YES,YES,YES,YES,YES,MARRIED,
CANDIDATE 130,STANDARD CHARTERED BANK,BFSI,ROUTINE,REGULATORY,SCHEDULED WALKIN,MALE,CHENNAI,CHENNAI,CHENNAI,CHENNAI,YES,YES,YES,YES,YES,YES,YES,SINGLE,
CANDIDATE 140,ANZ,BFSI,NICHE,REGULATORY,SCHEDULED,MALE,BANGALORE,BANGALORE,BANGALORE,BANGALORE,YES,YES,YES,YES,YES,YES,YES,SINGLE,
CANDIDATE 150,ANZ,BFSI,NICHE,REGULATORY,SCHEDULED,MALE,BANGALORE,BANGALORE,BANGALORE,BANGALORE,YES,YES,YES,YES,YES,YES,YES,SINGLE,
CANDIDATE 160,STANDARD CHARTERED BANK,BFSI,ROUTINE,ROUTINE,WALKIN,FEMALE,BANGALORE,BANGALORE,BANGALORE,BANGALORE,YES,YES,YES,YES,YES,YES,YES,SINGLE,
CANDIDATE 170,STANDARD CHARTERED BANK,BFSI,ROUTINE,ROUTINE,WALKIN,MALE,BANGALORE,BANGALORE,BANGALORE,BANGALORE,YES,YES,YES,YES,YES,YES,YES,SINGLE,
CANDIDATE 180,STANDARD CHARTERED BANK,BFSI,ROUTINE,ROUTINE,WALKIN,FEMALE,BANGALORE,BANGALORE,BANGALORE,BANGALORE,YES,YES,YES,YES,YES,YES,YES,MARRIED,
CANDIDATE 190,STANDARD CHARTERED BANK,BFSI,ROUTINE,ROUTINE,WALKIN,MALE,BANGALORE,BANGALORE,BANGALORE,BANGALORE,YES,YES,YES,YES,YES,YES,YES,SINGLE,
CANDIDATE 200,STANDARD CHARTERED BANK,BFSI,ROUTINE,ROUTINE,WALKIN,FEMALE,BANGALORE,BANGALORE,BANGALORE,BANGALORE,YES,YES,YES,YES,YES,YES,YES,SINGLE,
CANDIDATE 210,STANDARD CHARTERED BANK,BFSI,ROUTINE,ROUTINE,WALKIN,MALE,BANGALORE,BANGALORE,BANGALORE,BANGALORE,YES,YES,YES,YES,YES,YES,YES,SINGLE,
CANDIDATE 220,STANDARD CHARTERED BANK,BFSI,ROUTINE,ROUTINE,WALKIN,MALE,BANGALORE,BANGALORE,BANGALORE,BANGALORE,YES,YES,YES,YES,YES,YES,YES,SINGLE,
CANDIDATE 230,STANDARD CHARTERED BANK,BFSI,ROUTINE,ROUTINE,WALKIN,MALE,BANGALORE,BANGALORE,BANGALORE,BANGALORE,YES,YES,YES,YES,YES,YES,YES,SINGLE,
CANDIDATE 240,STANDARD CHARTERED BANK,BFSI,ROUTINE,ROUTINE,WALKIN,MALE,BANGALORE,BANGALORE,BANGALORE,BANGALORE,YES,YES,YES,YES,YES,YES,YES,MARRIED,
CANDIDATE 250,STANDARD CHARTERED BANK,BFSI,ROUTINE,CDD,SCHEDULED WALKIN,FEMALE,BANGALORE,BANGALORE,BANGALORE,PANJIM,YES,YES,YES,YES,YES,YES,YES,SINGLE,
CANDIDATE 260,STANDARD CHARTERED BANK,BFSI,ROUTINE,CDD,SCHEDULED WALKIN,FEMALE,BANGALORE,BANGALORE,BANGALORE,CHENNAI,YES,YES,YES,YES,YES,YES,YES,SINGLE,
CANDIDATE 271,STANDARD CHARTERED BANK,BFSI,ROUTINE,CDD,SCHEDULED WALKIN,MALE,BANGALORE,BANGALORE,BANGALORE,HYDERABAD,YES,YES,YES,YES,YES,YES,YES,MARRIED,
CANDIDATE 280,STANDARD CHARTERED BANK,BFSI,ROUTINE,CDD,SCHEDULED WALKIN,MALE,BANGALORE,BANGALORE,BANGALORE,HYDERABAD,,,,,,,,MARRIED,
